,Year,#Bat,BatAge,R/G,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SH,BIP
11,2012,1185,28.5,4.32,37.89711934156379,184180,165251,0.11411119556955153,0.2283798458030188,0.15170485394722555,0.04485286133130633,0.005033119774133999,0.026789010750352917,0.10857856444782278,0.017531762406341623,0.07986209143229449,0.1977739168205017,0.255,0.319,0.405,0.724,0.3636659789336519,0.008111629927245087,0.008030187859702465,0.6793028559018351
12,2011,1173,28.7,4.28,38.13194730341704,185245,165705,0.11232691840535507,0.22816810170314988,0.15340764932926665,0.04533995519447218,0.00484763421414883,0.02457286296526222,0.1069070690167076,0.017700882614915384,0.08107101406245783,0.1861750654538584,0.255,0.321,0.399,0.72,0.3569219142217064,0.008388890388404546,0.008998893357445545,0.6906475208507652
13,2010,1157,28.9,4.38,38.17962962962963,185553,165353,0.11483511449558886,0.22933609265277305,0.1540745770750136,0.045733563995192746,0.004667130146103809,0.0248608214364629,0.10933803279925412,0.015946926215151466,0.08503230882820542,0.18488518105339175,0.257,0.325,0.403,0.728,0.3589863812495621,0.008348019164335797,0.008321072685432194,0.6884016965503118
14,2009,1156,28.9,4.61,38.49362139917695,187079,165849,0.11983707417721925,0.23265037764794552,0.15392427797882177,0.04670219532924593,0.005072723288022707,0.026951181051855098,0.1141977453375312,0.015875646117415636,0.08883947423281074,0.17955516118858877,0.262,0.333,0.418,0.751,0.37035156270880215,0.008499083274980088,0.008739623367668205,0.6873139155116288
15,2008,1188,28.8,4.65,38.639003294892916,187631,166714,0.12036923536089453,0.23435359828599753,0.15559262595200155,0.04804110195010419,0.004722034205435136,0.025997836178456652,0.11480512282085582,0.014917577585793393,0.08706983387606526,0.17525888579179347,0.264,0.333,0.416,0.749,0.36983227718234196,0.008911107439602198,0.00813298442155081,0.6945387489274161
16,2007,1173,29.1,4.8,38.79535170711641,188623,167783,0.12364345811486405,0.23844918170106508,0.1584377302873987,0.04875863494907832,0.004972882416248284,0.02627993404833981,0.11799727498767383,0.015470011610461078,0.08524411126956946,0.17065257153157357,0.268,0.336,0.423,0.758,0.3759933836276594,0.009304273603961341,0.008164433817721063,0.7002221362188068
17,2006,1134,29.2,4.86,38.7136681762042,188071,167341,0.12547920732063955,0.23965949029887648,0.1573873696635845,0.04857208182016366,0.0050619181053963664,0.028638120709731964,0.11958781523998915,0.014712528779024943,0.08426073131955485,0.1683140941452962,0.269,0.337,0.432,0.768,0.38426977045902877,0.009661244955362603,0.008778599571438447,0.7002461836221427
18,2005,1141,29.2,4.59,38.315919374742904,186292,166335,0.11983874777231443,0.23614003821956928,0.15686663946922036,0.04757584866768299,0.004766710325725206,0.026930839756940717,0.11405750112726258,0.013768707190861658,0.08162991432804415,0.1644944495737874,0.264,0.33,0.419,0.749,0.37404182680952486,0.009646146909153372,0.008696025594228416,0.7085060013312434
19,2004,1136,29.3,4.81,38.825988467874794,188539,167353,0.12398495801929574,0.23614212444109706,0.15516153156641332,0.047305862447557266,0.004762940293520174,0.02891179013360631,0.11800211096908332,0.013731906926418408,0.08604055394374639,0.1688138793565257,0.266,0.335,0.428,0.763,0.3797092378765136,0.009812293477742005,0.009181124329714277,0.6971342799102573
20,2003,1134,29.2,4.73,38.56975308641975,187449,166737,0.12258267582115669,0.23503459607679955,0.15518354325709927,0.04709014185191705,0.004982688624639235,0.027778222343144,0.11675709126215664,0.013726400247533996,0.08476438924720857,0.1643166941408063,0.264,0.333,0.422,0.755,0.3754247822074271,0.009864016345779386,0.008674359425763807,0.7045383010845616
